short_description
0,Boom found that Imran Khan was criticizing the Government of India and the current regime was anti -Muslim and Pakistan
1,Some people of the Sikh community are set to set a set of photographs showing soot on the Hindi sign board and a video is going viral.
2,Posts are being shared with a large number of pictures with this claim on social media platform Facebook and Twitter.
3,It is claimed that BJP leaders have admitted that the government is doing wrong with the public.
4,Media outlets and wire agency incorrectly claimed that former Pakistan diplomat killed deaths in Balakot
5,"While sharing the picture, users are claiming that this picture of a mosque on the platform of Old Delhi railway station"
6,Boom found that the original picture is from the year 2014 when Amit Shah was congratulating Prime Minister Narendra Modi.
7,"Boom found that the viral picture was committed in the year 2018 in Unnao, Uttar Pradesh"
8,It is claimed that applying the vaccine of Kovid-19 on the penis will give relief from the virus soon
9,The claim is viral that the British Prime Minister has canceled the tour of India due to the peasant movement.
10,It has been claimed that this picture shows the tents of farmers collected on the boundaries of Delhi in large numbers.
11,It is being claimed that the video shows preparations for the parade to be held on 26 January in the peasant movement.
12,Many news institutions including Zee News ABP in Hindi newspaper magazine news channels on Yogi Adityanath on paid content
13,Munawwar Farooqui arrested for making alleged indecent remarks on Hindu deities and Amit Shah during the show in Indore
14,It is claimed that Muslims are demonstrating when the temples are demolished by miscreants in Pakistan
15,The claim on social media is viral that the old man who is falling down is dead.
16,Boom found that this video is not from India
17,It is being claimed that the tower of Jio has been burnt by the farmers
18,"It is claimed that Amit Shah is asking not to build a Ram temple, while Narendra Modi is claiming to kill Muslim farmers."
19,"It has been claimed that this picture is from a RSS camp and in the picture, Anna Hazare and Narendra Modi are in the picture."
20,It is claimed that this picture shows Atal Bihari Vajpayee in his mother's lap
21,"Recently, this picture was being shared on social media platforms by connecting this picture with Varanasi."
22,It is being claimed that the price of platform tickets has been increased by ten times after the Adani Group goes into the hands of the Adani Group.
23,It has been claimed with the video that yesterday where #stone pelting was done #in Ujjain this is today's #scene!This is the #Hindus
24,The video claims that a ceremony took place at Mukesh Ambani's house between Kovid-19 epidemic
25,"It is being claimed that a Hindu woman named Ismail killed Asha in Hubli, Karnataka"
26,"Along with the picture, it is being claimed on social media that Surat Singh has given up food water for the farmers."
27,"By connecting the peasant movement, users are sharing this picture by paying tribute on social media."
28,"The same claims are being made on social media with the picture of a temple, while the picture is not from Ayodhya."
29,"According to claims on social media, the Gurdwara Samiti deliberately removed the rug so that the Prime Minister had to walk down in the cold."
30,"After talking to Ajit Anjum, we find out the truth of this viral video and read this report of boom"
31,"Aam Aadmi Party has shared a video clip of Bidhuri, its reality in this article"
32,"According to claims on social media, Bilkis Bano has been in jail for 19 days"
33,Boom found that the viral video is from the year 2017 and belongs to an incident in Darjeeling.
34,It is claimed that the policeman shot at his mother after a Muslim youth got bike from a Delhi Police policeman's car.
35,Boom found that these were pictures of a start-up that was launched in Bangalore in 2019
36,"Although a glass bridge is definitely built in Rajgir, Bihar, but the viral picture is not from that bridge."
37,Boom found that the viral picture does not belong to the farmer movement but an anti -CAA performed in Kerala in February 2020
38,"Boom found that a person seen in the video clip is not a Pakistani journalist but a motivational speaker of India, Harshvardhan"
39,"According to viral claims on social media, the name of Ahmedabad Airport has become Adani Airport from Sardar Vallabhbhai Patel."
40,"Amidst the recent farmer performance, this picture is viral with the claim that Prime Minister Gautam Adani's wife bowed down"
41,"Boom found that this picture is in 1994 when Narendra Modi attended the wedding of Alpa Chapatwala, daughter of a former Gujarat minister"
42,It is claimed that pictures show that around 250 million people have come in support of the peasant movement
43,Adani Wilmar Branding is actually a part of branding on locomotives that helps the railways earn revenue
44,"With the video, it has been claimed to explain the real meaning of salute #lovejihad to this woman"
45,It is claimed that farmers beat BJP leader Umesh Singh because they raised slogans of Pakistan Zindabad
46,"In the viral picture, a big mace bow and arrow can be seen in the middle of a square."
47,Boom found that the viral picture has been made using an editing app facility.
48,It is claimed that the picture is currently vandalized by opposition parties during the Bharat Bandh Bharat Bandh
49,It is claimed that this picture is currently on the time of the ongoing peasant movement.
50,Boom spoke to Indian Army spokesman Colonel Aman Anand who has termed claims as fake
51,It is being claimed that these pictures are from the ongoing peasant movement against the Agriculture Act.
52,Boom found that the viral clip protested against the insult of their scripture by Kashmiri Sikhs in October 2015
53,It is being claimed that Punjab Chief Minister Mukesh Ambani met a day before Bharat Bandh
54,"It is claimed that due to the Kisan Movement and Delhi Chalo March, there is an 80 km long jam in the national capital."
55,Twitter and Facebook are being claimed that the soldiers of 21 Sikh Regiment have resigned
56,It is being claimed that there is a split due to the farmer movement in the BJP
57,Boom found that this picture is of Guru Gobind Singh Jayanti celebrations in Mumbai in which Hrithik Roshan attended
58,Boom talked to Ravish and found out that he had not made any such appeal
59,It is claimed that those who were protesting against the Citizenship Amendment Act are also involved in the peasant movement
60,"In the claim, users are trying to show the status of farmers through this video"
61,It is being claimed that the peasant movement and the Khalistan movement are connected among themselves
62,It is being claimed that the farmers are insulting the tricolor in the farmer movement in the picture.
63,"Boom found that this picture was taken in a brick factory in Fatullah, Bangladesh in 2008."
64,It is being claimed that both the people are Americans and the farmers have left their honeymoon and attended the demonstration.
65,Boom contacted the person singing the song in the video in which he confirmed that the video was recorded in 2019
66,The Prime Minister on the action of security forces on the demonstration of farmers issued against the new agricultural laws of the Central Government
67,The claim made with viral video says AAP party's jihadi mentality see ground report and understand the peasant movement
68,It is being claimed that the farmers performing in this picture are carrying banners against Lord Ram.
69,"After talking about Sukhdev Singh, the boom identified this old farmer as Sukhdev Singh, he told that he on his arms on his back and"
70,It is being claimed that today 20000 Nihang Singh left for Delhi in support of farmers with 2000 thousand horses from Punjab
71,Boom spoke to an electrician Nazir Muhammad by profession who told that he has complained to the police
72,Social media users are sharing the picture by connecting the Hyderabad Municipal Corporation elections
73,Users are sharing the picture by connecting the recent peasant movement
74,Social media users are sharing this picture and claiming that it is Princess Bansal
75,It has been claimed on social media that the farmers seen in the picture are camping outside Delhi.
